Počet vstupních dat: 78400
Počet vstupních trénovacích dat: 78400
Počet vstupních predikovanýc dat: 1932

Atributy:
Date_time - standardized date and time of sighting
city - location of UFO sighting
state/province - the US state or Canadian province, appears blank for other locations
country - Country of UFO sighting
UFO_shape - a one word description of the "spacecraft"
length_of_encounter_seconds - standardized to seconds, length of the observation of the UFO
described_duration _of_encounter - raw description of the length of the encounter(shows uncertainty to previous column)
description - text description of the UFO encounter.Warning column is messy, with some curation it could lend itself to some natural language processing and await sw.WriteLineAsync analysis.
date_documented - when was the UFO sighting reported
latitude - latitude
longitude - longitude

Klasifikace pomoci Naive-Bayes (UFO_shape -> length_of_encounter_seconds + hour)
;class='cylinder';class='light';class='circle';class='sphere';class='disk';class='fireball';class='unknown';class='oval';class='other';class='cigar';class='rectangle';class='chevron';class='triangle';class='formation';class='delta';class='changing';class='egg';class='diamond';class='flash';class='teardrop';class='cone';class='cross';class='pyramid';class='round';class='crescent';class='flare';class='hexagon';class='dome';class='changed'
length_of_encounter_seconds='40';0,01;0,01;0,01;0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,00;0;0,00;0,01;0,00;0,00;0,01;0,02;0;0;0;0;0;0;0;0
length_of_encounter_seconds='630';0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1';0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0;0,00;0,02;0,01;0,08;0,00;0,01;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='5400';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,01;0,00;0,00;0,01;0,00;0,01;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1500';0,00;0,01;0,01;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,01;0;0,01;0,01;0,01;0,01;0,00;0,01;0,01;0;0;0;0;0;0;0
length_of_encounter_seconds='1351';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='540';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0;0,00;0,00;0,00;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='720';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,01;0,00;0,01;0,01;0,02;0;0;0;0;0;0;0
length_of_encounter_seconds='13';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0;0,00;0,00;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='420';0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,14;0,01;0,00;0,01;0,00;0,01;0,02;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2400';0,00;0,01;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0;0,01;0,01;0,01;0,01;0,00;0,02;0;0;0;0;0;0;0;0
length_of_encounter_seconds='480';0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,00;0,01;0,01;0;0;0;0;0;0;0;0
length_of_encounter_seconds='97836000';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7';0,00;0,00;0,00;0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,00;0,00;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0
length_of_encounter_seconds='25';0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0;0,00;0,00;0,00;0,00;0,01;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='6312000';0;0,00;0,00;0;0;0;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='330';0;0,00;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='9000';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1020';0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0;0,00;0;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='28800';0;0,00;0;0;0,00;0;0,00;0,00;0,00;0;0,00;0;0,00;0;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
