Počet vstupních dat: 78400
Počet vstupních trénovacích dat: 78400
Počet vstupních predikovanýc dat: 1932

Atributy:
Date_time - standardized date and time of sighting
city - location of UFO sighting
state/province - the US state or Canadian province, appears blank for other locations
country - Country of UFO sighting
UFO_shape - a one word description of the "spacecraft"
length_of_encounter_seconds - standardized to seconds, length of the observation of the UFO
described_duration _of_encounter - raw description of the length of the encounter(shows uncertainty to previous column)
description - text description of the UFO encounter.Warning column is messy, with some curation it could lend itself to some natural language processing and await sw.WriteLineAsync analysis.
date_documented - when was the UFO sighting reported
latitude - latitude
longitude - longitude

Klasifikace pomoci Naive-Bayes (UFO_shape -> length_of_encounter_seconds + hour)
;class='cylinder';class='light';class='circle';class='sphere';class='disk';class='fireball';class='unknown';class='oval';class='other';class='cigar';class='rectangle';class='chevron';class='triangle';class='formation';class='delta';class='changing';class='egg';class='diamond';class='flash';class='teardrop';class='cone';class='cross';class='pyramid';class='round';class='crescent';class='flare';class='hexagon';class='dome';class='changed'
length_of_encounter_seconds='61';0;0;0;0;0;0;0;0;0,00;0;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='114';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='18';0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;0;0;0;0;0,00;0,00;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='27';0;0,00;0;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1295';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='19';0;0,00;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='130';0;0;0;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1000';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='43200';0;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2220';0;0,00;0;0;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4800';0;0,00;0,00;0;0;0;0,00;0;0;0;0;0;0,00;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='34';0;0,00;0,00;0,00;0;0,00;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1140';0,00;0,00;0,00;0;0,00;0;0,00;0,00;0;0;0,00;0;0,00;0;0;0,00;0,00;0;0;0,00;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='1194';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='840';0;0,00;0,00;0,00;0,00;0,00;0;0,00;0;0;0;0;0,00;0,00;0;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='38';0;0,00;0,00;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2880';0;0,00;0,00;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.4';0;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='6000';0,00;0,00;0;0,00;0,00;0,00;0,00;0;0;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3.8';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='5760';0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1680';0;0,00;0,00;0,00;0,00;0,00;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='10526400';0;0;0,00;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='258';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3040';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7080';0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1209600';0;0,00;0;0,00;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2160';0;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1263';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1270';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='41';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.08';0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7800';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3420';0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='350';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='135';0;0,00;0;0;0;0,00;0,00;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='510';0;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='72';0;0,00;0;0;0,00;0;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='59';0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='100';0;0,00;0,00;0;0;0,00;0;0,00;0,00;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='1305';0;0;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='36';0;0,00;0,00;0;0,00;0,00;0,00;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='12600';0;0,00;0,00;0,00;0,00;0;0,00;0;0,00;0;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1920';0;0,00;0;0;0,00;0,00;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='140';0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='70';0;0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2580';0;0,00;0;0,00;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='2820';0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='606';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='12000';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='159';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2940';0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2040';0;0,00;0,00;0;0;0;0,00;0;0,00;0;0;0,00;0;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4380';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='105';0;0,00;0,00;0,00;0,00;0,00;0;0;0;0,00;0,00;0;0,00;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='44';0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='25200';0;0,00;0;0,00;0,00;0;0;0;0,00;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='7500';0;0,00;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='9900';0;0,00;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1046';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='32';0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='68814';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='570';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.3';0;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0;0;0,00;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1245';0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='210';0;0,00;0;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='1084';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='373';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='86400';0;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;0,00;0;0,00;0;0;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1060';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='465';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2520';0;0;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1440';0;0,00;0,00;0;0;0,00;0,00;0;0,00;0;0;0;0,00;0,00;0;0,00;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1325';0;0,00;0;0;0,00;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='16200';0;0,00;0;0;0,00;0;0,00;0,00;0,00;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='751';0;0;0;0;0;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1980';0;0,00;0,00;0;0,00;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1273';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='438';0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='275';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='13500';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='361800';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.02';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='138';0;0;0;0;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='188';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='209';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3.5';0;0,00;0,00;0;0,00;0,00;0;0;0,00;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.2';0;0;0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='15660';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='625';0;0;0;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1224';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='60.15';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1230';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1935';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2340';0;0;0;0;0;0;0,00;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1300';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='21';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0
length_of_encounter_seconds='39';0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4140';0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='450';0;0;0,00;0,00;0;0;0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='15300';0;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1425';0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.6';0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='52';0;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='53';0;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='620';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='85';0,00;0;0,00;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='219300';0;0;0;0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='345';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='380';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='965';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1335';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.57';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='32400';0,00;0,00;0,00;0,00;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='4680';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='26';0;0,00;0;0;0;0,00;0,00;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1.6';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='682';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1215';0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='424';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2.51';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1155';0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='191';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='335';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3360';0;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='152';0;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='56000';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='615';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2187';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='155';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='30300';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1085';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='345600';0,00;0,00;0,00;0,00;0;0;0,00;0,00;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1810';0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='8100';0;0;0;0,00;0;0;0,00;0;0,00;0;0;0;0;0;0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.3';0;0;0;0;0;0,00;0,00;0;0;0;0,00;0,00;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='163';0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='610';0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='42';0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='2102400';0;0;0;0;0;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='145800';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='54000';0;0,00;0;0,00;0;0;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1010';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1015';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1233';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1814400';0;0,00;0;0;0;0;0,00;0;0,00;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='835';0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='978';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1125';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1740';0,00;0,00;0;0;0,00;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1360';0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1845';0;0;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='599';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1410';0;0,00;0,00;0,00;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='6120000';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1090';0;0,00;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='0.01';0;0,00;0;0,00;0;0,00;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='800';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='180.39';0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='262';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='810';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1248';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='3240';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='200';0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0,00;0;0;0;0;0;0;0
length_of_encounter_seconds='1705';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1133';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='110';0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='400';0;0;0;0;0;0;0,00;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='1236';0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='11400';0;0;0;0;0;0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
length_of_encounter_seconds='698';0;0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
